,delay[s]
0,0.248
1,0.126
2,0.018
3,0.263
4,0.255
5,0.071
6,0.264
7,0.155
8,0.215
9,0.051
10,0.427
11,0.264
12,0.083
13,0.021
14,0.11
15,0.066
16,0.207
17,0.097
18,0.143
19,0.185
20,0.183
21,0.106
22,0.174
23,0.203
24,0.584
25,0.024
26,0.146
27,0.073
28,0.123
29,0.074
30,0.106
31,0.129
32,0.108
33,0.248
34,0.097
35,0.205
36,0.105
37,0.178
38,0.045
39,0.076
40,0.087
41,0.105
42,0.365
43,0.07
44,0.129
45,0.314
46,0.122
47,0.052
48,0.03
49,0.079
50,0.16
51,0.387
52,0.156
53,0.09
54,0.34
55,0.145
56,0.303
57,0.271
58,0.567
59,0.298
60,0.143
61,0.397
62,0.471
63,0.279
64,0.119
65,0.239
66,0.119
67,0.561
68,0.238
69,0.217
70,0.25
71,0.174
72,0.15
73,0.438
74,0.118
75,0.12
76,0.111
77,0.106
78,0.074
79,0.052
80,0.577
81,0.151
82,0.198
83,0.15
84,0.123
85,0.102
86,0.209
87,0.077
88,0.241
89,0.091
90,0.033
91,0.102
92,0.091
93,0.195
94,0.45
95,0.04
96,0.256
97,0.089
98,0.101
99,0.196
100,0.537
101,0.343
102,0.22
103,0.14
104,0.239
105,0.137
106,0.129
107,0.178
108,0.483
109,0.204
110,0.242
111,0.369
112,0.073
113,0.167
114,0.032
115,0.556
116,0.366
117,0.083
118,0.042
119,0.106
120,0.171
121,0.072
122,0.352
123,0.143
124,0.321
125,0.343
126,0.128
127,0.043
128,0.233
129,0.078
130,0.085
131,0.04
132,0.105
133,0.019
134,0.514
135,0.064
136,0.044
137,0.185
138,0.181
139,0.132
140,0.596
141,0.346
142,0.204
143,0.465
144,0.259
145,0.169
146,0.575
147,0.173
148,0.156
149,0.136
150,0.085
151,0.022
152,0.258
153,0.166
154,0.405
155,0.1
156,0.286
157,0.177
158,0.131
159,0.14
160,0.277
161,0.125
162,0.233
163,0.188
164,0.08
165,0.115
166,0.053
167,0.054
168,0.237
169,0.11
170,0.042
171,0.059
172,0.065
173,0.05
174,0.208
175,0.485
176,0.099
177,0.034
178,0.115
179,0.139
180,0.07
181,0.068
182,0.158
183,0.106
184,0.145
185,0.249
186,0.214
187,0.329
188,0.294
189,0.309
190,0.247
191,0.615
192,0.144
193,0.031
194,0.049
195,0.225
196,0.18
197,0.203
198,0.209
199,0.403
200,0.311
201,0.263
202,0.167
203,0.117
204,0.236
205,0.13
206,0.216
207,0.162
208,0.138
209,0.256
210,0.199
211,0.09
212,0.153
213,0.016
214,0.144
215,0.142
216,0.152
217,0.13
218,0.099
219,0.371
220,0.084
221,0.207
222,0.093
223,0.055
224,0.168
225,0.152
226,0.17
227,0.189
228,0.111
229,0.157
230,0.301
231,0.078
232,0.127
233,0.12
234,0.102
235,0.258
236,0.188
237,0.168
238,0.048
239,0.138
240,0.099
241,0.112
242,0.215
243,0.106
244,0.055
245,0.084
246,0.112
247,0.057
248,0.031
249,0.134
250,0.325
251,0.349
252,0.329
253,0.098
254,0.084
255,0.032
256,0.072
257,0.417
258,0.06
259,0.053
260,0.116
261,0.149
262,0.154
263,0.086
264,0.401
265,0.372
266,0.046
267,0.015
268,0.058
269,0.306
270,0.297
271,0.182
272,0.096
273,0.068
274,0.139
275,0.36
276,0.51
277,0.048
278,0.145
279,0.061
280,0.096
281,0.115
282,0.574
283,0.391
284,0.111
285,0.059
286,0.441
287,0.06
288,0.028
289,0.163
290,0.1
291,0.137
292,0.112
293,0.103
294,0.213
295,0.337
296,0.176
297,0.115
298,0.152
299,0.432
300,0.118
301,0.105
302,0.374
303,0.249
304,0.103
305,0.078
306,0.177
307,0.308
308,0.253
309,0.251
310,0.08
311,0.109
312,0.068
313,0.015
314,0.08
315,0.155
316,0.104
317,0.233
318,0.271
319,0.026
320,0.093
321,0.081
322,0.185
323,0.084
324,0.538
325,0.23
326,0.37
327,0.035
328,0.295
329,0.471
330,0.117
331,0.237
332,0.266
333,0.172
334,0.49
335,0.28
336,0.159
337,0.371
338,0.086
339,0.06
340,0.115
341,0.178
342,0.098
343,0.179
344,0.221
345,0.037
346,0.114
347,0.116
348,0.168
349,0.08
350,0.184
351,0.229
352,0.044
353,0.299
354,0.45
355,0.163
356,0.347
357,0.203
358,0.096
359,0.261
360,0.058
361,0.107
362,0.34
363,0.117
364,0.169
365,0.123
366,0.128
367,0.136
368,0.173
369,0.076
370,0.17
371,0.222
372,0.105
373,0.459
374,0.143
375,0.364
376,0.25
377,0.399
378,0.555
379,0.212
380,0.073
381,0.06
382,0.282
383,0.066
384,0.126
385,0.06
386,0.053
387,0.103
388,0.081
389,0.401
390,0.118
391,0.026
392,0.257
393,0.062
394,0.167
395,0.07
396,0.232
397,0.144
398,0.355
399,0.14
400,0.116
401,0.1
402,0.143
403,0.07
404,0.104
405,0.1
406,0.024
407,0.103
408,0.262
409,0.103
410,0.273
411,0.081
412,0.032
413,0.109
414,0.016
